O1, O2, STIM,
4357.44, 4357.44, 1, 
4530.77, 4532.31, 1, 
4358.97, 4357.44, 1, 
4531.79, 4531.79, 1, 
4355.38, 4356.41, 1, 
4532.31, 4532.31, 1, 
4355.9, 4352.31, 1, 
4531.79, 4531.79, 1, 
4352.82, 4358.46, 1, 
4531.79, 4530.77, 1, 
4358.46, 4354.36, 1, 
4529.23, 4529.74, 1, 
4357.95, 4357.95, 1, 
4530.77, 4530.77, 1, 
4353.33, 4353.85, 1, 
4530.26, 4530.77, 1, 
4356.41, 4356.41, 1, 
4530.77, 4531.28, 1, 
4355.38, 4356.92, 1, 
4532.31, 4532.82, 1, 
4355.9, 4356.41, 1, 
4532.82, 4531.79, 1, 
4358.46, 4356.41, 1, 
4531.28, 4530.77, 1, 
4354.36, 4355.9, 1, 
4529.23, 4530.26, 1, 
4355.38, 4354.87, 1, 
4532.31, 4531.28, 1, 
4354.36, 4352.31, 1, 
4530.77, 4531.28, 1, 
4353.85, 4353.85, 1, 
4532.31, 4533.85, 1, 
4352.31, 4354.87, 1, 
4532.31, 4529.74, 1, 
4355.9, 4353.85, 1, 
4532.31, 4534.87, 1, 
4355.9, 4358.46, 1, 
4530.77, 4528.72, 1, 
4353.85, 4352.82, 1, 
4531.79, 4531.79, 1, 
4357.44, 4356.92, 1, 
4528.21, 4528.21, 1, 
4355.38, 4353.85, 1, 
4531.28, 4531.79, 1, 
4354.36, 4358.46, 1, 
4531.79, 4532.31, 1, 
4357.44, 4352.31, 1, 
4531.28, 4530.26, 1, 
4354.87, 4359.49, 1, 
4530.77, 4530.77, 1, 
4360, 4356.41, 1, 
4530.77, 4530.77, 1, 
4352.31, 4351.79, 1, 
4530.77, 4531.28, 1, 
4356.41, 4356.92, 2, 
4531.28, 4530.26, 2, 
4353.85, 4355.9, 2, 
4530.26, 4529.74, 2, 
4358.97, 4356.92, 2, 
4528.21, 4529.74, 2, 
4356.41, 4357.44, 2, 
4533.85, 4533.33, 2, 
4356.92, 4358.46, 2, 
4529.23, 4530.26, 2, 
4357.44, 4353.33, 2, 
4532.82, 4530.77, 2, 
4355.9, 4356.92, 2, 
4529.74, 4531.28, 2, 
4353.85, 4355.38, 2, 
4531.28, 4531.28, 2, 
4356.41, 4355.38, 2, 
4531.79, 4531.28, 2, 
4355.38, 4355.38, 2, 
4530.26, 4530.26, 2, 
4353.33, 4354.36, 2, 
4530.26, 4529.23, 2, 
4356.41, 4355.9, 2, 
4529.74, 4530.77, 2, 
4356.92, 4356.92, 2, 
4529.74, 4529.74, 2, 
4355.38, 4356.41, 2, 
4530.77, 4528.72, 2, 
4357.95, 4355.9, 2, 
4528.21, 4531.79, 2, 
4353.85, 4356.92, 2, 
4532.31, 4528.21, 2, 
4360.51, 4358.46, 2, 
4528.72, 4530.77, 2, 
4357.44, 4360, 2, 
4530.77, 4530.77, 2, 
4356.92, 4354.36, 2, 
4531.28, 4530.26, 2, 
4355.38, 4356.92, 2, 
4529.74, 4529.74, 2, 
4357.44, 4356.92, 2, 
4529.23, 4530.26, 2, 
4357.95, 4357.44, 2, 
4532.31, 4531.28, 2, 
4354.87, 4356.41, 2, 
4530.77, 4532.31, 2, 
4356.92, 4354.36, 2, 
4532.82, 4530.77, 2, 
4355.9, 4356.92, 2, 
4530.26, 4530.26, 2, 
4353.33, 4354.87, 2, 
4529.23, 4530.26, 2, 
4358.97, 4358.46, 2, 
4532.82, 4532.82, 2, 
4355.38, 4356.41, 2, 
4531.79, 4532.31, 2, 
4355.9, 4353.85, 2, 
4532.31, 4528.21, 2, 
4354.36, 4355.9, 2, 
